RPM,DOC_um,Fz_Mean,Fz_Std,Fz_Peak2Peak,Peak_FFT_Amp,Label
114.0,1000.0,0.31002974406583234,1.239687056449533,6.810257117450237,434.16649516967135,1
114.0,1000.0,0.29767855541285826,1.2772647738735017,6.810257117450237,383.8618768980627,1
114.0,1000.0,0.3223809388786322,1.3203302206203693,7.783150832355021,431.1225008495435,1
114.0,1000.0,0.1333127234436688,1.1618683177230136,6.810257117450237,362.7760921376266,1
114.0,1000.0,-0.02060210689523955,1.281606924580571,7.783150832355022,412.73097162247325,1
114.0,1000.0,0.4078891769895563,1.2537461232611344,6.810257117450237,424.85002063661204,1
114.0,1000.0,0.3233310318464646,1.278279587454932,7.783150832355021,426.7429316280349,1
114.0,1000.0,0.4572939330508234,1.1670492842906488,6.810257117450237,392.2245734621398,1
114.0,1000.0,0.10766025208286009,1.2809288194643331,6.810257117450237,400.81314625645916,1
114.0,1000.0,0.0554052174804383,1.1479983863817478,6.810257117450237,405.43671517510256,1
114.0,1000.0,0.32428111611807253,1.1519181017956983,6.810257117450237,392.97602708148025,1
114.0,1000.0,0.17131637693528323,1.4063614403523161,8.756044547259807,448.5932976335191,1
114.0,1000.0,0.16941619389835977,1.2643958746256367,6.810257117450237,405.06703501340894,1
114.0,1000.0,-0.06050594777188961,1.1289006545093734,6.810257117450237,417.05945138063487,1
114.0,1000.0,0.017401551306829785,1.198096693581783,5.837363031506538,438.8222254764655,1
114.0,1000.0,0.2368726985936519,1.2242868556257773,6.810257117450237,350.49525665014767,1
114.0,1000.0,0.16276555725489744,1.2604671523718407,6.810257117450237,421.2085686599699,1
114.0,1000.0,0.2530242522334447,1.3008012691688506,6.810257117450237,489.3921520157932,1
114.0,1000.0,-0.0025503669574390986,1.1868400227083393,5.837363031506538,419.6883044014944,1
114.0,1000.0,0.17986720531189349,1.339977746715366,10.701831977069377,416.84259446451375,1
114.0,1000.0,0.281526999961352,1.250401322237475,6.810257117450237,425.3505704365747,1
114.0,1000.0,0.10766024447366364,1.2642227315384074,6.810257117450237,430.24186235220344,1
114.0,1000.0,0.04115384361648467,1.1643079960830336,5.837363031506538,395.1035209217658,1
114.0,1000.0,-0.19351877883600535,1.2876457460063517,7.783150832355022,420.10744014404554,1
114.0,1000.0,-0.0016002732649212752,1.1466136557255824,5.837363031506538,386.11115869093084,1
114.0,1000.0,0.06775640722044046,1.2416642310755495,7.783150832355021,355.99124340677287,1
114.0,1000.0,0.06205585919669829,1.1489144511289446,5.837363031506538,421.0794046133027,1
114.0,1000.0,0.08865842098894065,1.275547693486513,8.756044547259807,427.72955408868694,1
114.0,1000.0,-0.11086079861270264,1.102819735708122,5.837363031506538,404.94042169382334,1
114.0,1000.0,0.1789171166921733,1.1893871004625511,6.810257117450237,415.2709483428932,1
114.0,1000.0,0.15991528523591114,1.1963791583832848,6.810257117450237,409.03638311852535,1
114.0,1000.0,0.09150868974684273,1.2383305182208386,6.810257117450237,433.2062529706636,1
114.0,1000.0,-0.02345238507405155,1.2067669894519946,7.783150832355022,399.6304058201721,1
114.0,1000.0,-0.21252060521946986,1.3274924628054456,9.728938262164592,370.37462567755375,1
114.0,1000.0,0.04970467018138152,1.173470348833762,6.810257117450237,411.98672510813327,1
114.0,1000.0,0.13331272453069687,0.987247041227459,4.864468574523926,345.23865886318157,0
114.0,1000.0,0.616909307790047,0.8140454890026145,4.86446894556284,305.2621200219117,0
114.0,1000.0,0.6976670864969492,0.8270294270717822,3.8915748596191406,321.3536441640446,0
114.0,1000.0,0.8344802662424626,0.8531271689211272,4.86446894556284,316.6205621724263,0
